Comment,Designator,Footprint,LCSC Part #,Manufacturer Part Number,Qty,Description
4.7u 50V,C1,C_0805_2012Metric,C98192,CL21A475KBQNNNE,1,MLCC 4.7 uF 50 V X5R 0805
10u 10V,"C2,C17",C_0805_2012Metric,C15850,CL21A106KAYNNNE,2,MLCC 10 uF 25 V X5R 0805
3.3n,C4,C_0402_1005Metric,C107028,CC0402KRX7R9BB332,1,MLCC 3.3 nF 50 V X7R 0402
18p,"C5,C6",C_0402_1005Metric,C1549,0402CG180J500NT,2,MLCC 18 pF 50 V C0G 0402
100n,"C7,C8,C9,C11,C12,C21,C22,C23,C24",C_0402_1005Metric,C1525,CL05B104KO5NNNC,9,MLCC 100 nF 16 V X7R 0402
4.7u,"C10,C16",C_0603_1608Metric,C19666,CL10A475KO8NNNC,2,MLCC 4.7 uF 16 V X5R 0603
1u,C13,C_0402_1005Metric,C52923,CL05A105KA5NQNC,1,MLCC 1 uF 25 V X5R 0402
1A 40V Schottky (SOD-123F),"D1,D5,D7",D_SOD-123F,C37049,DSK14,3,"Schottky 1 A 40 V, SOD-123FL"
SMF16CA 16V bidir TVS,D2,D_SOD-123F,C123805,SMF16CA,1,"TVS 16 V standoff, bidirectional, SOD-123FL (clamp about 26 V)"
bidir ESD diode 6-7V (SOD-323),D4,D_SOD-323,C19224,"PESD5V0S1BA,115",1,"ESD diode bidirectional 5 V, SOD-323"
AO3400A,"Q1,Q2",SOT-23,C20917,AO3400A,2,"N-MOSFET 30 V logic level, SOT-23"
10k,"R1,R2,R16",R_0402_1005Metric,C25744,0402WGF1002TCE,3,Resistor 10 k 1 % 0402
1.5k 1%,R3,R_0603_1608Metric,C22843,0603WAF1501T5E,1,Resistor 1.5 k 1 % 0603 (SDI-12 transmit resistance)
220k,R4,R_0402_1005Metric,C25767,0402WGF2203TCE,1,Resistor 220 k 1 % 0402
0.1 1%,R5,R_0805_2012Metric,C2094615,WSL0805R1000FEA,1,"Current-sense resistor 0.1 ohm 1 %, 0805 - no substitutes"
4.7k,"R6,R7",R_0402_1005Metric,C25900,0402WGF4701TCE,2,Resistor 4.7 k 1 % 0402
1.5k,"R9,R12",R_0402_1005Metric,C25867,0402WGF1501TCE,2,"Gate resistor 1.5 k ohm 1%, 0402"
100k,"R10,R17",R_0402_1005Metric,C25741,0402WGF1003TCE,2,Resistor 100 k 1 % 0402
10,R11,R_0402_1005Metric,C25077,0402WGF100JTCE,1,Resistor 10 ohm 1 % 0402
5.1k,"R14,R15",R_0402_1005Metric,C25905,0402WGF5101TCE,2,Resistor 5.1 k 1 % 0402
10k 0.1%,"R21,R22,R23,R24",R_0603_1608Metric,C54973934,CRF0603Q103BN,4,"Resistor 10 k 0.1 % 25 ppm, 0603 - no substitutes"
3.3,"RH1,RH2,RH3,RH4,RH5,RH6,RH7,RH8,RH9,RH10,RH11,RH12,RH13,RH14,RH15,RH16,RH17",R_0603_Vishay_HP,C313752,CRCW06033R30FKEAHP,17,"HEATER: Vishay high-power 0603 3.3 ohm 1%, 0.33 W at 70 C, derates above 70 C. Exact CRCW-HP part required; no ordinary 0.1 W/0.125 W substitutes"
10k NTC 1%,"TH1,TH2,TH3,TH4",R_0402_1005Metric,C77131,NCP15XH103F03RC,4,"NTC thermistor 10 k 1 % B3380, 0402 - no substitutes"
R7FA4M1AB3CFM,U1,LQFP-64_10x10mm_P0.5mm,C1340737,R7FA4M1AB3CFM#AA0,1,"Renesas RA4M1 MCU, LQFP-64"
HT7550-1,U3,SOT-89-3,C16106,HT7550-1,1,"Holtek 5 V LDO, SOT-89 (must be the Holtek part)"
INA226,U4,MSOP-10_3x3mm_P0.5mm,C49851,INA226AIDGSR,1,"TI INA226 power monitor, VSSOP-10"
32.768kHz 12.5pF 3215,Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,C32346,Q13FC13500004,1,"Crystal 32.768 kHz 12.5 pF, 3.2x1.5 mm (Epson FC-135)"
