Designator,Mid X,Mid Y,Layer,Rotation
C1,107.0000mm,-74.7500mm,Top,0
C2,111.0000mm,-77.7500mm,Top,90
C4,101.7500mm,-73.7500mm,Top,0
C5,112.5000mm,-77.8000mm,Top,90
C6,112.5000mm,-84.0000mm,Top,90
C7,114.9000mm,-82.0000mm,Top,90
C8,130.5000mm,-80.5000mm,Top,90
C9,122.5000mm,-72.0000mm,Top,0
C10,114.6000mm,-77.4000mm,Top,90
C11,115.5000mm,-87.6250mm,Top,90
C12,134.7500mm,-88.0000mm,Top,0
C13,120.5000mm,-72.0000mm,Top,0
C16,120.2500mm,-88.0000mm,Top,0
C17,138.0000mm,-78.0000mm,Top,0
C21,134.2500mm,-72.2500mm,Top,0
C22,134.2500mm,-74.2500mm,Top,0
C23,134.2500mm,-76.2500mm,Top,0
C24,134.2500mm,-78.2500mm,Top,0
D1,109.7500mm,-85.0000mm,Top,0
D2,111.0000mm,-74.7500mm,Top,0
D4,105.5000mm,-82.7500mm,Top,90
D5,137.5000mm,-80.2500mm,Top,0
D7,108.7500mm,-82.5000mm,Top,0
Q1,140.5000mm,-83.2000mm,Top,180
Q2,141.0000mm,-74.0000mm,Top,180
R1,123.0000mm,-88.0000mm,Top,0
R2,127.0000mm,-88.0000mm,Top,0
R3,106.0000mm,-85.2500mm,Top,0
R4,114.2500mm,-75.2500mm,Top,0
R5,137.2500mm,-85.0000mm,Top,270
R6,130.2500mm,-88.0000mm,Top,0
R7,132.5000mm,-88.0000mm,Top,0
R9,140.0000mm,-86.0000mm,Top,0
R10,142.0000mm,-86.0000mm,Top,0
R11,118.5000mm,-72.0000mm,Top,0
R12,141.0000mm,-76.6000mm,Top,0
R14,125.0000mm,-88.0000mm,Top,0
R15,114.9000mm,-84.6000mm,Top,90
R16,113.3000mm,-85.5000mm,Top,0
R17,141.0000mm,-77.8000mm,Top,0
R21,131.0000mm,-72.2500mm,Top,0
R22,131.0000mm,-74.2500mm,Top,0
R23,131.0000mm,-76.2500mm,Top,0
R24,131.0000mm,-78.2500mm,Top,0
RH1,151.9800mm,-80.0000mm,Top,0
RH2,154.5800mm,-80.0000mm,Top,0
RH3,157.1800mm,-80.0000mm,Top,0
RH4,159.7800mm,-80.0000mm,Top,0
RH5,162.3800mm,-80.0000mm,Top,0
RH6,164.9800mm,-80.0000mm,Top,0
RH7,167.5800mm,-80.0000mm,Top,0
RH8,170.1800mm,-80.0000mm,Top,0
RH9,172.7800mm,-80.0000mm,Top,0
RH10,175.3800mm,-80.0000mm,Top,0
RH11,177.9800mm,-80.0000mm,Top,0
RH12,180.5800mm,-80.0000mm,Top,0
RH13,183.1800mm,-80.0000mm,Top,0
RH14,185.7800mm,-80.0000mm,Top,0
RH15,188.3800mm,-80.0000mm,Top,0
RH16,190.9800mm,-80.0000mm,Top,0
RH17,193.5800mm,-80.0000mm,Top,0
TH1,172.9800mm,-72.0000mm,Top,0
TH2,197.2600mm,-80.0000mm,Top,0
TH3,172.9800mm,-88.0000mm,Top,0
TH4,137.5000mm,-76.2500mm,Top,0
U1,122.5000mm,-80.0000mm,Top,270
U3,107.5000mm,-78.5000mm,Top,180
U4,133.0000mm,-85.5000mm,Top,270
Y1,113.2250mm,-80.9000mm,Top,90
