Designator,Mid X,Mid Y,Layer,Rotation
C1,120.0000mm,-75.7500mm,Top,0
C2,127.5000mm,-85.0000mm,Top,0
C4,116.0000mm,-84.5000mm,Top,0
C12,121.5000mm,-83.2500mm,Top,0
C13,135.0000mm,-76.5000mm,Top,0
C21,132.0000mm,-75.2000mm,Top,0
C22,132.0000mm,-77.7000mm,Top,0
C23,132.0000mm,-80.2000mm,Top,0
C24,132.0000mm,-82.7000mm,Top,0
D1,116.0000mm,-75.7500mm,Top,0
D2,111.2500mm,-75.7500mm,Top,0
D4,110.7500mm,-81.0000mm,Top,90
Q1,135.0000mm,-84.2500mm,Top,180
Q2,135.0000mm,-79.5000mm,Top,180
R3,111.2500mm,-84.5000mm,Top,0
R4,114.0000mm,-84.5000mm,Top,0
R5,124.7500mm,-80.0000mm,Top,270
R6,117.5000mm,-83.2500mm,Top,0
R7,119.5000mm,-83.2500mm,Top,0
R9,138.0000mm,-84.1000mm,Top,0
R10,140.0000mm,-84.1000mm,Top,0
R11,135.0000mm,-75.0000mm,Top,0
R12,138.0000mm,-75.0000mm,Top,0
R17,138.0000mm,-76.0000mm,Top,0
R18,123.5000mm,-75.5000mm,Top,0
R21,129.0000mm,-75.2000mm,Top,0
R22,129.0000mm,-77.7000mm,Top,0
R23,129.0000mm,-80.2000mm,Top,0
R24,129.0000mm,-82.7000mm,Top,0
RH1,151.9800mm,-80.0000mm,Top,0
RH2,154.5800mm,-80.0000mm,Top,0
RH3,157.1800mm,-80.0000mm,Top,0
RH4,159.7800mm,-80.0000mm,Top,0
RH5,162.3800mm,-80.0000mm,Top,0
RH6,164.9800mm,-80.0000mm,Top,0
RH7,167.5800mm,-80.0000mm,Top,0
RH8,170.1800mm,-80.0000mm,Top,0
RH9,172.7800mm,-80.0000mm,Top,0
RH10,175.3800mm,-80.0000mm,Top,0
RH11,177.9800mm,-80.0000mm,Top,0
RH12,180.5800mm,-80.0000mm,Top,0
RH13,183.1800mm,-80.0000mm,Top,0
RH14,185.7800mm,-80.0000mm,Top,0
RH15,188.3800mm,-80.0000mm,Top,0
RH16,190.9800mm,-80.0000mm,Top,0
RH17,193.5800mm,-80.0000mm,Top,0
TH1,172.9800mm,-72.0000mm,Top,0
TH2,197.2600mm,-80.0000mm,Top,0
TH3,172.9800mm,-88.0000mm,Top,0
TH4,124.5000mm,-84.8000mm,Top,0
U4,120.0000mm,-80.0000mm,Top,270
