"TOA5","JLH-1K-2","CR1000","24121","CR1000.Std.32.07","CPU:One Thermo-TDR Probe Calibration Andreas All TCs.CR1","61233","ProbeID_D6_Cal"
"TIMESTAMP","RECORD","PTemp","Counter","T1","T2","T3","Htr_mV"
"TS","RN","","","deg C","","deg C","mV"
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-03-18 10:00:00",0,18.58,0,18.74169,-7.887865E+10,-9.687974E+07,0
"2025-03-18 10:00:01",1,18.58,1,18.74169,-6.207766E+10,-1.379253E+08,0
"2025-03-18 10:00:02",2,18.58,2,18.7473,-4.821663E+10,-1.736103E+08,0
"2025-03-18 10:00:03",3,18.58,3,18.74169,-3.841719E+10,-2.239459E+08,0
"2025-03-18 10:00:04",4,18.58,4,18.7473,-3.084098E+10,-2.677227E+08,0
"2025-03-18 10:00:05",5,18.58,5,18.74169,-1.659892E+10,-1.114722E+10,0
"2025-03-18 10:00:06",6,18.58,6,18.74169,-9.380913E+09,18.69678,0
"2025-03-18 10:00:07",7,18.58,7,18.74169,-2.330309E+09,18.46099,0
"2025-03-18 10:00:08",8,18.58,8,18.74169,-2.658343E+10,18.41046,301.8
"2025-03-18 10:00:09",9,18.58,9,18.74169,-6.686869E+10,18.70801,301.8
"2025-03-18 10:00:10",10,18.58,10,18.74169,-3.947402E+11,18.7024,301.1
"2025-03-18 10:00:11",11,18.58,11,18.74169,-1.390397E+12,18.65188,300.4
"2025-03-18 10:00:12",12,18.58,12,18.74169,-2.145936E+12,18.67995,300.4
"2025-03-18 10:00:13",13,18.58,13,18.74169,-2.676673E+12,28.16039,300.4
"2025-03-18 10:00:14",14,18.58,14,18.73046,-2.689071E+12,18.51714,300.4
"2025-03-18 10:00:15",15,18.58,15,18.73608,-2.781309E+12,-43.90186,300.4
"2025-03-18 10:00:16",16,18.58,16,18.73046,-2.966192E+12,18.67995,299.1
"2025-03-18 10:00:17",17,18.58,17,18.73608,-3.402797E+12,18.59574,299.1
"2025-03-18 10:00:18",18,18.58,18,18.73046,-1.362737E+11,18.62381,299.1
"2025-03-18 10:00:19",19,18.58,19,18.73608,-24818.95,18.63504,299.1
"2025-03-18 10:00:20",20,18.58,20,18.74169,-2192099,18.64627,299.1
"2025-03-18 10:00:21",21,18.58,21,18.74169,-1.334912E+08,18.65188,299.1
"2025-03-18 10:00:22",22,18.58,22,18.74169,-2.307534E+09,18.66311,298.4
"2025-03-18 10:00:23",23,18.58,23,18.75291,1817.773,18.67433,0
"2025-03-18 10:00:24",24,18.58,24,18.75853,54.67022,18.68556,0
"2025-03-18 10:00:25",25,18.58,25,18.76414,51.77193,18.7024,0
"2025-03-18 10:00:26",26,18.58,26,18.77536,49.39313,18.71924,0
"2025-03-18 10:00:27",27,18.58,27,18.79781,47.3938,18.73608,0
"2025-03-18 10:00:28",28,18.58,28,18.80904,45.63157,18.76414,0
"2025-03-18 10:00:29",29,18.58,29,18.83149,44.09198,18.7922,0
"2025-03-18 10:00:30",30,18.58,30,18.84832,42.71214,18.82026,0
"2025-03-18 10:00:31",31,18.58,31,18.87638,41.47063,18.84832,0
"2025-03-18 10:00:32",32,18.58,32,18.91005,40.35188,18.8876,0
"2025-03-18 10:00:33",33,18.58,33,18.93249,39.32384,18.92127,0
"2025-03-18 10:00:34",34,18.58,34,18.96055,38.38692,18.95494,0
"2025-03-18 10:00:35",35,18.58,35,18.99421,37.52512,18.99421,0
"2025-03-18 10:00:36",36,18.58,36,19.03349,36.72781,19.03349,0
"2025-03-18 10:00:37",37,18.58,37,19.07276,35.9952,19.07837,0
"2025-03-18 10:00:38",38,18.58,38,19.10642,35.31656,19.11764,0
"2025-03-18 10:00:39",39,18.58,39,19.14568,34.68109,19.16251,0
"2025-03-18 10:00:40",40,18.61,40,19.20978,34.11319,19.23222,0
"2025-03-18 10:00:41",41,18.58,41,19.22421,33.54012,19.25225,0
"2025-03-18 10:00:42",42,18.58,42,19.26347,33.02385,19.29151,0
"2025-03-18 10:00:43",43,18.58,43,19.30272,32.54019,19.33076,0
"2025-03-18 10:00:44",44,18.61,44,19.36681,32.10804,19.40045,0
"2025-03-18 10:00:45",45,18.61,45,19.40045,31.67877,19.4397,0
"2025-03-18 10:00:46",46,18.61,46,19.44531,31.27125,19.47895,0
"2025-03-18 10:00:47",47,18.61,47,19.46774,30.88555,19.51259,0
"2025-03-18 10:00:48",48,18.61,48,19.51259,30.52168,19.55183,0
"2025-03-18 10:00:49",49,18.61,49,19.54622,30.17968,19.59107,0
"2025-03-18 10:00:50",50,18.61,50,19.57986,29.85406,19.6191,0
"2025-03-18 10:00:51",51,18.61,51,19.61349,29.55039,19.65273,0
"2025-03-18 10:00:52",52,18.61,52,19.64152,29.24105,19.68636,0
"2025-03-18 10:00:53",53,18.61,53,19.67515,28.96473,19.71438,0
"2025-03-18 10:00:54",54,18.61,54,19.69757,28.69935,19.74801,0
"2025-03-18 10:00:55",55,18.61,55,19.72559,28.44494,19.77042,0
"2025-03-18 10:00:56",56,18.61,56,19.75361,28.2015,19.80405,0
"2025-03-18 10:00:57",57,18.61,57,19.77603,27.96904,19.82646,0
"2025-03-18 10:00:58",58,18.61,58,19.80405,27.74204,19.84888,0
"2025-03-18 10:00:59",59,18.61,59,19.82646,27.53158,19.8825,0
"2025-03-18 10:01:00",60,18.61,60,19.84888,27.32659,19.90491,0
"2025-03-18 10:01:01",61,18.61,61,19.87129,27.12708,19.92172,0
"2025-03-18 10:01:02",62,18.61,62,19.8881,26.9386,19.93852,0
"2025-03-18 10:01:03",63,18.61,63,19.90491,26.76117,19.96094,0
"2025-03-18 10:01:04",64,18.61,64,19.92732,26.58368,19.98334,0
"2025-03-18 10:01:05",65,18.61,65,19.94413,26.41725,19.99455,0
"2025-03-18 10:01:06",66,18.61,66,19.96094,26.25632,20.01696,0
"2025-03-18 10:01:07",67,18.61,67,19.97214,26.1009,20.02816,0
"2025-03-18 10:01:08",68,18.61,68,19.99455,25.951,20.03937,0
"2025-03-18 10:01:09",69,18.61,69,20.01135,25.80663,20.05617,0
"2025-03-18 10:01:10",70,18.61,70,20.01696,25.67333,20.07298,0
"2025-03-18 10:01:11",71,18.61,71,20.02816,25.54,20.07858,0
"2025-03-18 10:01:12",72,18.61,72,20.03937,25.40109,20.08978,0
"2025-03-18 10:01:13",73,18.61,73,20.05057,25.27882,20.10098,0
"2025-03-18 10:01:14",74,18.61,74,20.06177,25.15654,20.10658,0
"2025-03-18 10:01:15",75,18.61,75,20.06738,25.03979,20.11779,0
"2025-03-18 10:01:16",76,18.61,76,20.07858,24.92858,20.12899,0
"2025-03-18 10:01:17",77,18.61,77,20.08418,24.81735,20.14019,0
"2025-03-18 10:01:18",78,18.61,78,20.09538,24.70611,20.14019,0
"2025-03-18 10:01:19",79,18.61,79,20.10098,24.60597,20.15139,0
"2025-03-18 10:01:20",80,18.61,80,20.10658,24.50582,20.15699,0
"2025-03-18 10:01:21",81,18.61,81,20.11218,24.41121,20.1626,0
"2025-03-18 10:01:22",82,18.61,82,20.11779,24.3166,20.1626,0
"2025-03-18 10:01:23",83,18.61,83,20.12899,24.22197,20.1738,0
"2025-03-18 10:01:24",84,18.61,84,20.12899,24.13846,20.1738,0
"2025-03-18 10:01:25",85,18.61,85,20.13459,24.04938,20.185,0
"2025-03-18 10:01:26",86,18.61,86,20.13459,23.96585,20.185,0
"2025-03-18 10:01:27",87,18.61,87,20.14019,23.88231,20.185,0
"2025-03-18 10:01:28",88,18.61,88,20.14579,23.80433,20.185,0
"2025-03-18 10:01:29",89,18.61,89,20.15139,23.72634,20.185,0
"2025-03-18 10:01:30",90,18.61,90,20.14019,23.65392,20.1906,0
"2025-03-18 10:01:31",91,18.61,91,20.15139,23.58148,20.1962,0
"2025-03-18 10:01:32",92,18.61,92,20.15139,23.51461,20.1962,0
"2025-03-18 10:01:33",93,18.61,93,20.15139,23.44217,20.1962,0
